"inflacao" "pib_per_capita" "crescimento_pib" "desemprego"
"Lesotho" 4.00999803947733 1324.282767995 1.47332698754288 23.5960006713867
"Lithuania" 2.69792779208397 19089.7075056564 3.49368880814318 6.00699996948242
"Luxembourg" 1.52819524307373 114340.498741773 2.60267394560714 5.46999979019165
"Latvia" 2.53445424186602 18088.9272518674 4.76971668163448 7.85699987411499
"Morocco" 1.91295940503111 3237.88336815666 2.95006201908701 9.03999996185303
"Moldova" 3.04505397337071 3189.35581212262 3.99999999999996 3.41100001335144
"Montenegro" 2.61121647230232 8760.69228579702 4.85444364455017 15.4619998931885
"Madagascar" 7.2915244318736 460.752780832755 5.18771873764004 1.65900003910065
"Myanmar" 6.87283193752598 1325.95292370622 6.20005107150712 1.56400001049042
"Mongolia" 6.80003887946283 4103.69749259392 6.94883868471059 6.32000017166138
"Macao SAR, China" 3.00522100647301 86355.407651836 4.70820262679268 2.02300000190735
"Mauritania" 3.06735996058355 1218.59640995207 3.60000000579959 10.3050003051758
"Malta" 1.15782362451512 30074.7411850959 6.55273167887003 4.58300018310547
"Mauritius" 3.2160538314458 11238.6903948961 3.7738189089938 6.86700010299683
"Maldives" -0.132802913060936 10223.6364890278 6.05323536780354 6.07499980926514
"Malawi" 12.420178108921 389.398033178836 3.49999999999999 5.42999982833862
"Mexico" 4.89935015356549 9698.0841865066 1.99420681652698 3.32200002670288
"Malaysia" 0.884709160571244 11238.9573725301 4.72363366654488 3.35999989509583
"Namibia" 4.28857498852457 5931.45388457263 -0.0746768253348904 23.0949993133545
"Niger" 2.96760366004454 411.688942542622 5.1726982626509 0.273000001907349
"Nigeria" 12.0947315505318 2028.18197017598 1.93726806769712 6.02600002288818
"Nicaragua" 4.94723728039882 2028.89689057351 -3.81571016878904 4.47900009155273
"Netherlands" 1.70349794744475 53024.0592130531 2.59745362333229 3.88000011444092
"Norway" 2.76483134528794 81807.198038676 1.44602964100082 3.91899991035461
"Nepal" 4.0611633875107 1025.79835586617 6.28976217341481 1.26400005817413
"New Zealand" 1.59829703801698 41966.0091846374 2.78107911797703 4.52199983596802
"Oman" 0.881302104009536 16418.9269283158 2.12513728907484 3.11299991607666
"Panama" 0.761578359399948 15575.0725482915 3.6770136293445 3.92199993133545
"Peru" 1.31764765937395 6947.2566270938 3.9765015187284 2.84400010108948
"Philippines" 5.21160460595185 3102.71336329931 6.24373774240088 2.51500010490417
"Pakistan" 5.07805725868919 1472.89313366943 5.43001078627286 3.03800010681152
"Poland" 1.81295156542681 15424.0460254454 5.14946407917856 3.67300009727478
"Portugal" 0.99371568346825 23145.7349562595 2.14461216154047 6.8600001335144
"Paraguay" 3.97561015740691 5871.46706441738 3.63782677195871 4.71199989318848
"Qatar" 0.268110931858334 69026.4688025751 1.43164807667107 0.142000004649162
"Romania" 4.62548443137781 12301.1864034302 4.09567394177144 4.29500007629395
"Serbia" 1.95984076293803 7233.99587424704 4.30178771501495 13.5100002288818
"Russian Federation" 2.87831382614987 11288.8724435206 2.2548400528962 4.74399995803833
"Rwanda" -0.312727199101258 772.967838382225 8.67168339449135 0.971000015735626
"Saudi Arabia" 2.46594308994843 23219.1304831033 2.21496872383027 5.91900014877319
"Sweden" 1.95353530127029 54111.9721723671 2.35893955161824 6.44399976730347
"Singapore" 0.438518617778593 64581.9440183954 3.13946454303462 3.76799988746643
"Slovenia" 1.73860861988181 26234.0228962506 4.48722055054185 5.51000022888184
"Slovak Republic" 2.51403712883808 19546.9019028513 4.10904958250215 6.75600004196167
"Sierra Leone" 16.8615896165464 522.858128404118 3.72795555462642 4.31300020217896
"Senegal" 0.456257584592834 1521.9535542169 6.76629382361236 6.46400022506714
"Sao Tome and Principe" 7.86859628873909 2001.14090226164 2.65769375666697 13.3190002441406
"El Salvador" 1.09033000581896 4058.24465202163 2.53763190900662 4.3899998664856
"Eswatini" 4.81494233775261 4139.96194908385 0.624044070312181 22.4769992828369
"Togo" 0.927755426457187 671.840687558773 4.88413046423071 1.66799998283386
"Thailand" 1.06389754183022 7273.56320732092 4.12922610260051 0.665000021457672
"Tunisia" 7.3075917603165 3446.60723792022 2.50533296534539 15.4779996871948
"Turkey" 16.3324638988929 9311.36611728167 2.56662303733567 10.8950004577637
"Tanzania" 3.49445848856181 1050.67525379846 5.20000000000019 1.932000041008
"Ukraine" 10.9518559353179 3095.17358053586 3.33548930910057 9.38099956512451
"Uganda" 2.61601190952266 643.139670191672 6.09014455290458 1.74199998378754
"United States" 2.44258329692818 62641.0145699281 2.8569878160516 3.93300008773804
"Uruguay" 7.60653360377044 17277.9701105496 1.62008362892945 7.96099996566772
"St. Vincent and the Grenadines" 2.32414485367923 7377.67883199414 2.55689713658356 19.7609996795654
"Vietnam" 3.53943338061265 2563.82073058085 7.07578861674985 1.89100003242493
"Samoa" 4.19745888663746 4392.46775479595 0.724091003967558 8.32499980926514
"South Africa" 4.50457749331605 6374.01544590635 0.787055570495099 26.9580001831055
"Zambia" 7.49457192728511 1539.90015779907 3.79490091669091 7.20900011062622
